hpcd,mdc6,value
31506,50050,435
1866,60241,434
10021,50070,434
10059,50070,434
20127,60100,434
30538,130030,434
10035,12002x,433
10055,110080,433
10065,03001x,433
20056,10060,433
20121,50050,433
30014,20110,433
30366,20200,433
30499,40040,433
90169,07040x,433
20096,60000,433
10031,50050,432
30504,160800,432
30586,40040,432
30902,50050,432
30948,50050,432
175,50050,431
10033,60010,431
10043,60040,431
10072,50050,431
20144,50070,431
31001,10060,431
31060,50050,431
1178,20110,430
1677,50130,430
10007,60010,430
10023,50130,430
10048,60010,430
20003,20110,430
20057,110310,430
20076,60020,430
20086,50130,430
30167,20110,430
30171,40040,430
31412,50050,430
10015,40040,429
10018,60010,429
20018,140010,429
20026,60010,429
20047,10060,429
20051,50070,429
20081,10060,429
20125,04026x,429
30339,50130,429
30570,12002x,429
31018,50070,429
31147,60241,429
31454,10010,429
1298,60100,428
10039,20220,428
10046,50070,428
10057,60010,428
20026,60020,428
20122,60020,428
20138,110280,428
30515,20110,428
31341,10030,428
31466,70470,428
10045,12002x,427
20076,50050,427
20123,60035,427
30233,160620,427
30538,12002x,427
30584,50050,427
20114,40000,427
10002,60050,426
10052,90010,426
10061,60050,426
20028,40040,426
30004,10010,426
30134,60100,426
30120,40000,426
10002,20110,425
10036,20220,425
10057,140010,425
20079,50050,425
30008,110080,425
30282,20110,425
30514,60100,425
30911,50050,425
31198,140010,425
90101,60020,425
90110,10060,425
90247,10030,425
30553,30000,425
10033,160000,425
10046,60020,424
10056,12002x,424
20028,130030,424
20057,50080,424
30373,60180,424
30915,50070,424
31360,40040,424
3142,110080,423
10066,50070,423
20020,50050,423
20066,140010,423
20117,60050,423
30113,50050,423
30387,50050,423
30447,60035,423
30456,40040,423
30640,60100,423
30818,40040,423
20138,100000,423
240,50050,422
1472,50050,422
10027,50130,422
10034,03001x,422
10064,90010,422
20034,10060,422
30250,90010,422
30604,20110,422
30880,50050,422
31319,60035,422
90214,60100,422
1291,100000,422
20,70343,421
10011,20110,421
10049,60050,421
10052,120010,421
30005,40040,421
30172,60020,421
30354,20110,421
30942,50050,421
1326,60100,420
2083,70230,420
10020,90010,420
10066,120010,420
20012,60035,420
20080,40040,420
20100,50050,420
30356,10060,420
30763,60020,420
30874,20110,420
30948,40040,420
90041,70350,420
31269,80000,420
938,80000,420
10002,12002x,419
10035,60100,419
10048,20110,419
10049,140010,419
30008,11012x,419
30020,50050,419
30325,50050,419
30413,100140,419
30483,50070,419
30818,50050,419
30849,40040,419
31111,20110,419
2668,100020,418
10046,130030,418
10057,20220,418
10076,50070,418
20005,50050,418
20026,10060,418
20057,50170,418
31172,60100,418
31445,50050,418
31461,12002x,418
30485,40000,418
1745,10060,417
1843,20160,417
10016,110280,417
20053,110280,417
30339,50170,417
30757,20110,417
30999,20110,417
31330,50050,417
31446,60035,417
10032,100000,417
20156,180000,417
10038,60100,416
20030,140010,416
20044,60050,416
20077,20110,416
20080,50070,416
30021,160610,416
30169,20110,416
30431,40040,416
30570,60035,416
30874,50050,416
31134,10060,416
31179,40040,416
31344,60100,416
31446,90010,416
1076,100130,415
20011,60020,415
20083,50130,415
20129,40040,415
30226,50050,415
31214,140010,415
31333,50050,415
31404,110280,415
90034,10060,415
20114,60000,415
10007,10000,415
3202,30000,415
10065,60050,414
20076,10060,414
20089,50070,414
30051,140010,414
30235,110080,414
30841,50050,414
30880,20110,414
30883,110080,414
30991,40040,414
31287,12002x,414
31446,12002x,414
10019,20110,413
20060,50163,413
20130,40040,413
30255,70343,413
31071,40000,413
10008,40040,412
10029,50050,412
20025,10060,412
20049,20110,412
20092,40040,412
20126,50070,412
30028,50050,412
30103,60100,412
30547,20110,412
30611,20110,412
30902,50070,412
153,90010,411
20106,50070,411
20120,140010,411
20156,50050,411
30004,10060,411
30071,60100,411
30439,40040,411
1677,50070,410
20151,60100,410
30083,40040,410
30127,60020,410
30172,06007x,410
30334,60100,410
30567,50050,410
30643,90010,410
30696,50050,410
30792,40040,410
31456,50050,410
10015,50050,409
10021,50130,409
10034,60010,409
10059,60050,409
20009,50050,409
30038,110280,409
30356,40040,409
30529,20110,409
30533,50050,409
30623,160620,409
30875,20110,409
30961,140010,409
31120,60100,409
10009,12002x,408
10024,06007x,408
20040,60010,408
20063,40040,408
20094,110310,408
20114,50050,408
30144,60100,408
31108,40040,408
10048,120010,407
10075,110280,407
20123,110280,407
20154,50070,407
30862,60100,407
31162,130060,407
90174,120060,407
1001,70343,406
1340,20110,406
10006,60100,406
10012,60020,406
10054,20200,406
20078,10010,406
20104,50050,406
30927,50050,406
31025,90010,406
10057,100000,406
20076,100000,406
10049,50050,405
10056,60340,405
10061,60020,405
30256,60100,405
30570,110070,405
31156,130030,405
20050,160000,405
10018,50050,404
10019,110080,404
10046,50130,404
20043,110080,404
20052,70040,404
20089,50050,404
20143,50130,404
30783,10060,404
31120,20110,404
90102,20110,404
20089,40000,404
10024,110080,403
20052,60040,403
20154,130030,403
30281,11012x,403
30538,110080,403
30561,50170,403
90168,60100,403
761,40040,402
20077,10060,402
20089,10060,402
